Month,Year,Categories,Amount,Page number,Type of Category
June,1856,Street Obstructions Removed,30,67,Public Service
June,1856,Sidewalks repaired,21,67,Public Service
June,1856,"Drains,vaults,nuisances reported",20,67,Public Service
June,1856,Stores found open and secured ,24,67,Public Service
June,1856,Stray Teams Put up,6,67,Public Service
June,1856,Water Pipes burst secured,3,67,Public Service
June,1856,Lost children returned,13,67,Public Service
June,1856,Injured persons provided for,11,67,Public Service
June,1856,Disturbances Suppressed,229,67,Public Service
June,1856,Dangerous buildings reported/secured,6,67,Public Service
June,1856,Assaults and Battery,44,67,Offences
June,1856,Bigamy,1,67,Offences
June,1856,Common Drunkenness (drunkards),33,67,Offences
June,1856,Common Night Walkers,24,67,Offences
June,1856,City Ordinance Violations,6,67,Offences
June,1856,Common Beggars,2,67,Offences
June,1856,Drunkenness (Simple),174,67,Offences
June,1856,Disturbing the Peace,1,67,Offences
June,1856,Fraud,1,67,Offences
June,1856,Insane,2,67,Offences
June,1856,Idle & dissolute persons,13,67,Offences
June,1856,Keeping Houses of Ill Fame,9,67,Offences
June,1856,Larceny (simple),20,67,Offences
June,1856,Larceny from persons etc,21,67,Offences
June,1856,Malicious mischief,1,67,Offences
June,1856,Maiming,1,67,Offences
June,1856,Murder,1,67,Offences
June,1856,Noisy and disorderly persons,203,67,Offences
June,1856,Possessing sling shot,1,67,Offences
June,1856,Pickpockets,1,67,Offences
June,1856,Robbery,4,67,Offences
June,1856,Stealing a Ride,3,67,Offences
June,1856,Sunday Law Violations,3,67,Offences
June,1856,Stubborn & Truant Children,2,67,Offences
June,1856,Witnesses detained,5,67,Offences
June,1856,Amt property restored to prisoners (in $),800.21,67,Station and Court-related
June,1856,Amt property stolen on station (in $),480,67,Station and Court-related
June,1856,Stolen Property Recovered (in $),330,67,Station and Court-related
June,1856,No. of larcenies on station,25,67,Offences
June,1856,No. of arrests for larcenies on station,27,67,Offences
June,1856,Amt fines imposed on Prisoners (in $),975,67,Station and Court-related
June,1856,Years imprisonment imposed on convicts,"25,11/12",67,Station and Court-related
June,1856,Days time spent in court,140,67,Station and Court-related
June,1856,Amt Witness fees has earned in court (in $),218.73,67,Station and Court-related
July,1856,Lodging (Males),47,68,Demographics
July,1856,Lodging (Females),36,68,Demographics
July,1856,Lodging (Americans),16,68,Demographics
July,1856,Lodging (Foreigners),67,68,Demographics
July,1856,Lodging (Residents),43,68,Demographics
July,1856,Lodging (Non-residents),40,68,Demographics
July,1856,Lodging (Minor),12,68,Demographics
July,1856,Arrests (Males),420,68,Demographics
July,1856,Arrests (Females),214,68,Demographics
July,1856,Arrests (Americans),44,68,Demographics
July,1856,Arrests (Foreigners),580,68,Demographics
July,1856,Arrests (Residents),593,68,Demographics
July,1856,Arrests (Non-residents),131,68,Demographics
July,1856,Arrests (Minor),106,68,Demographics
July,1856,Arrests (Commitments),366,68,Demographics
July,1856,Custody,717,68,Demographics
July,1856,Streets repair requested ,3,68,Public Service
July,1856,"Drains,vaults,nuisances reported",8,68,Public Service
July,1856,Street Obstructions Removed,6,68,Public Service
July,1856,Sidewalks repaired,11,68,Public Service
July,1856,Stores found open and secured ,27,68,Public Service
July,1856,Stray Teams Put up,4,68,Public Service
July,1856,Dangerous buildings reported/secured,2,68,Public Service
July,1856,Water Pipes burst secured,6,68,Public Service
July,1856,Rabbid Dogs Killed,1,68,Public Service
July,1856,Number of fires on the station,5,68,Public Service
July,1856,Fires extinguished by officers without alarms,2,68,Public Service
July,1856,Fires alarms given by officers,2,68,Public Service
July,1856,Lost children returned,20,68,Public Service
July,1856,Injured persons provided for,23,68,Public Service
July,1856,Disturbances Suppressed,389,68,Public Service
July,1856,Amt fines imposed on Prisoners (in $),914,68,Station and Court-related
July,1856,Years imprisonment imposed on convicts,"43,5/12",68,Station and Court-related
July,1856,Assaults and Battery,54,68,Offences
July,1856,Attempt to kill,1,68,Offences
July,1856,Assaults on Officers,4,68,Offences
July,1856,Attempt to rescue prisoners,3,68,Offences
July,1856,Breaking and Entering,3,68,Offences
July,1856,Common Drunkenness (drunkards),44,68,Offences
July,1856,Common Night Walkers,21,68,Offences
July,1856,City Ordinance Violations,8,68,Offences
July,1856,Counterfeit money passing,1,68,Offences
July,1856,Drunkenness (Simple),191,68,Offences
July,1856,Disturbing the Peace,5,68,Offences
July,1856,Incendiaryism (incendiary),1,68,Offences
July,1856,Insane,1,68,Offences
July,1856,Idle & dissolute persons,20,68,Offences
July,1856,Keeping Houses of Ill Fame,15,68,Offences
July,1856,Keeping Noisy & Disorderly Houses,2,68,Offences
July,1856,Larceny (simple),37,68,Offences
July,1856,Larceny from persons etc,7,68,Offences
July,1856,Malicious mischief,1,68,Offences
July,1856,Pickpockets,1,68,Offences
July,1856,Robbery,3,68,Offences
July,1856,Sunday Law Violations,2,68,Offences
July,1856,Stealing a Ride,4,68,Offences
July,1856,Stubborn & Truant Children,2,68,Offences
July,1856,Vagabonds,5,68,Offences
July,1856,Witnesses detained,13,68,Offences
July,1856,Noisy and disorderly persons,185,68,Offences
July,1856,Amt property restored to prisoners (in $),561.52,68,Station and Court-related
July,1856,Amt property stolen on station (in $),505,68,Station and Court-related
July,1856,Stolen Property Recovered (in $),613.22,68,Station and Court-related
July,1856,No. of larcenies on station,22,68,Offences
July,1856,No. of arrests for larcenies on station,23,68,Offences
July,1856,Days time spent in court,169,68,Station and Court-related
July,1856,Amt Witness fees has earned in court (in $),229.23,68,Station and Court-related
August,1856,Lodging (Males),73,69,Demographics
August,1856,Lodging (Females),40,69,Demographics
August,1856,Lodging (Americans),19,69,Demographics
August,1856,Lodging (Foreigners),94,69,Demographics
August,1856,Lodging (Residents),52,69,Demographics
August,1856,Lodging (Non-residents),61,69,Demographics
August,1856,Lodging (Minor),25,69,Demographics
August,1856,Arrests (Males),369,69,Demographics
August,1856,Arrests (Females),171,69,Demographics
August,1856,Arrests (Americans),73,69,Demographics
August,1856,Arrests (Foreigners),467,69,Demographics
August,1856,Arrests (Residents),436,69,Demographics
August,1856,Arrests (Non-residents),104,69,Demographics
August,1856,Arrests (Minor),116,69,Demographics
August,1856,Arrests (Commitments),304,69,Demographics
August,1856,Streets repair requested ,2,69,Public Service
August,1856,"Drains,vaults,nuisances reported",7,69,Public Service
August,1856,Water Wasting Reported,2,69,Public Service
August,1856,Street Obstructions Removed,3,69,Public Service
August,1856,Sidewalks repaired,11,69,Public Service
August,1856,Stray Teams Put up,4,69,Public Service
August,1856,Stores found open and secured ,16,69,Public Service
August,1856,Defective Street Lamps Repaired/Reported,3,69,Public Service
August,1856,Injured persons provided for,5,69,Public Service
August,1856,Lost children returned,1,69,Public Service
August,1856,Number of fires on the station,5,69,Public Service
August,1856,Fires alarms given by officers,2,69,Public Service
August,1856,Fires extinguished by officers without alarms,2,69,Public Service
August,1856,Disturbances Suppressed,237,69,Public Service
August,1856,Amt fines imposed on Prisoners (in $),850,69,Station and Court-related
August,1856,Years imprisonment imposed on convicts,"36,3/4",69,Station and Court-related
August,1856,Adultery,1,69,Offences
August,1856,Assaults on Officers,4,69,Offences
August,1856,Assaults and Battery,33,69,Offences
August,1856,Attempt to rescue prisoners,2,69,Offences
August,1856,Breaking and Entering,6,69,Offences
August,1856,Safe keeping for Bondsmen,1,69,Offences
August,1856,Common Night Walkers,16,69,Offences
August,1856,Common Drunkenness (drunkards),30,69,Offences
August,1856,Counterfeit money passing,1,69,Offences
August,1856,Drunkenness (Simple),141,69,Offences
August,1856,Disturbing the Peace,8,69,Offences
August,1856,Escaped Convicts,4,69,Offences
August,1856,Insane,5,69,Offences
August,1856,Indecent exposure,1,69,Offences
August,1856,Idle & dissolute persons,27,69,Offences
August,1856,Keeping Houses of Ill Fame,3,69,Offences
August,1856,Larceny (simple),29,69,Offences
August,1856,Larceny from persons etc,18,69,Offences
August,1856,Malicious mischief,3,69,Offences
August,1856,Noisy and disorderly persons,185,69,Offences
August,1856,Pickpockets,3,69,Offences
August,1856,Robbery,1,69,Offences
August,1856,Stubborn & Truant Children,2,69,Offences
August,1856,Sunday Law Violations,2,69,Offences
August,1856,Vagabonds,6,69,Offences
August,1856,Witnesses detained,8,69,Offences
August,1856,Amt property restored to prisoners (in $),731.99,69,Station and Court-related
August,1856,Amt property stolen on station (in $),422.48,69,Station and Court-related
August,1856,Stolen Property Recovered (in $),476.13,69,Station and Court-related
August,1856,No. of larcenies on station,24,69,Offences
August,1856,No. of arrests for larcenies on station,19,69,Offences
August,1856,Cases reported for grand jury,5,69,Station and Court-related
August,1856,Days time spent in court,157,69,Station and Court-related
August,1856,Amt Witness fees has earned in court (in $),269.41,69,Station and Court-related
September,1856,Lodging (Males),88,70,Demographics
September,1856,Lodging (Females),35,70,Demographics
September,1856,Lodging (Americans),25,70,Demographics
September,1856,Lodging (Foreigners),98,70,Demographics
September,1856,Lodging (Residents),51,70,Demographics
September,1856,Lodging (Non-residents),72,70,Demographics
September,1856,Lodging (Minor),34,70,Demographics
September,1856,Arrests (Males),412,70,Demographics
September,1856,Arrests (Females),150,70,Demographics
September,1856,Arrests (Americans),77,70,Demographics
September,1856,Arrests (Foreigners),485,70,Demographics
September,1856,Arrests (Residents),445,70,Demographics
September,1856,Arrests (Non-residents),117,70,Demographics
September,1856,Arrests (Minor),108,70,Demographics
September,1856,Arrests (Commitments),320,70,Demographics
September,1856,Streets repair requested ,7,70,Public Service
September,1856,"Drains,vaults,nuisances reported",3,70,Public Service
September,1856,Street Obstructions Removed,5,70,Public Service
September,1856,Sidewalks repaired,22,70,Public Service
September,1856,Dangerous buildings reported/secured,6,70,Public Service
September,1856,Defective Street Lamps Repaired/Reported,3,70,Public Service
September,1856,Defective Street Lamps Repaired/Reported,15,70,Public Service
September,1856,Stray Teams Put up,19,70,Public Service
September,1856,Stores found open and secured ,10,70,Public Service
September,1856,Lost children returned,11,70,Public Service
September,1856,Injured persons provided for,5,70,Public Service
September,1856,Disturbances Suppressed,218,70,Public Service
September,1856,Number of fires on the station,4,70,Public Service
September,1856,Fires extinguished by officers without alarms,1,70,Public Service
September,1856,Fires alarms given by officers,3,70,Public Service
September,1856,Assaults and Battery,37,70,Offences
September,1856,Assaults on Officers,1,70,Offences
September,1856,Attempt to rob,2,70,Offences
September,1856,Burglary,1,70,Offences
September,1856,Breaking and Entering,3,70,Offences
September,1856,Common Drunkenness (drunkards),42,70,Offences
September,1856,Common Night Walkers,14,70,Offences
September,1856,City Ordinance Violations,2,70,Offences
September,1856,Counterfeit money passing,1,70,Offences
September,1856,Drunkenness (Simple),147,70,Offences
September,1856,Fornication,1,70,Offences
September,1856,Idle & dissolute persons,18,70,Offences
September,1856,Insane,3,70,Offences
September,1856,Keeping Houses of Ill Fame,4,70,Offences
September,1856,Keeping Noisy & Disorderly Houses,2,70,Offences
September,1856,Larceny (simple),32,70,Offences
